numberOfNodes,numberOfOperations
1671,13984606
1672,14001335
1673,14018074
1674,14034823
1675,14051582
1676,14068351
1677,14085130
1678,14101919
1679,14118718
1680,14135527
1681,14152346
1682,14169175
1683,14186014
1684,14202863
1685,14219722
1686,14236591
1687,14253470
1688,14270359
1689,14287258
1690,14304167
1691,14321086
1692,14338015
1693,14354954
1694,14371903
1695,14388862
1696,14405831
1697,14422810
1698,14439799
1699,14456798
1700,14473807
1701,14490826
1702,14507855
1703,14524894
1704,14541943
1705,14559002
1706,14576071
1707,14593150
1708,14610239
1709,14627338
1710,14644447
1711,14661566
1712,14678695
1713,14695834
1714,14712983
1715,14730142
1716,14747311
1717,14764490
1718,14781679
1719,14798878
1720,14816087
1721,14833306
1722,14850535
1723,14867774
1724,14885023
1725,14902282
1726,14919551
1727,14936830
1728,14954119
1729,14971418
1730,14988727
1731,15006046
1732,15023375
1733,15040714
1734,15058063
1735,15075422
1736,15092791
1737,15110170
1738,15127559
1739,15144958
1740,15162367
1741,15179786
1742,15197215
1743,15214654
1744,15232103
1745,15249562
1746,15267031
1747,15284510
1748,15301999
1749,15319498
1750,15337007
1751,15354526
1752,15372055
1753,15389594
1754,15407143
1755,15424702
1756,15442271
1757,15459850
1758,15477439
1759,15495038
1760,15512647
1761,15530266
1762,15547895
1763,15565534
1764,15583183
1765,15600842
1766,15618511
1767,15636190
1768,15653879
1769,15671578
1770,15689287
1771,15707006
1772,15724735
1773,15742474
1774,15760223
1775,15777982
1776,15795751
1777,15813530
1778,15831319
1779,15849118
1780,15866927
1781,15884746
1782,15902575
1783,15920414
1784,15938263
1785,15956122
1786,15973991
1787,15991870
1788,16009759
1789,16027658
1790,16045567
1791,16063486
1792,16081415
1793,16099354
1794,16117303
1795,16135262
1796,16153231
1797,16171210
1798,16189199
1799,16207198
1800,16225207
1801,16243226
1802,16261255
1803,16279294
1804,16297343
1805,16315402
1806,16333471
1807,16351550
1808,16369639
1809,16387738
1810,16405847
1811,16423966
1812,16442095
1813,16460234
1814,16478383
1815,16496542
1816,16514711
1817,16532890
1818,16551079
1819,16569278
1820,16587487
1821,16605706
1822,16623935
1823,16642174
1824,16660423
1825,16678682
1826,16696951
1827,16715230
1828,16733519
1829,16751818
1830,16770127
1831,16788446
1832,16806775
1833,16825114
1834,16843463
1835,16861822
1836,16880191
1837,16898570
1838,16916959
1839,16935358
1840,16953767
1841,16972186
1842,16990615
1843,17009054
1844,17027503
1845,17045962
1846,17064431
1847,17082910
1848,17101399
1849,17119898
1850,17138407
1851,17156926
1852,17175455
1853,17193994
1854,17212543
1855,17231102
1856,17249671
1857,17268250
1858,17286839
1859,17305438
1860,17324047
1861,17342666
1862,17361295
1863,17379934
1864,17398583
1865,17417242
1866,17435911
1867,17454590
1868,17473279
1869,17491978
1870,17510687
1871,17529406
1872,17548135
1873,17566874
1874,17585623
1875,17604382
1876,17623151
1877,17641930
1878,17660719
1879,17679518
1880,17698327
1881,17717146
1882,17735975
1883,17754814
1884,17773663
1885,17792522
1886,17811391
1887,17830270
1888,17849159
1889,17868058
1890,17886967
1891,17905886
1892,17924815
1893,17943754
1894,17962703
1895,17981662
1896,18000631
1897,18019610
1898,18038599
1899,18057598
1900,18076607
1901,18095626
1902,18114655
1903,18133694
1904,18152743
1905,18171802
1906,18190871
1907,18209950
1908,18229039
1909,18248138
1910,18267247
1911,18286366
1912,18305495
1913,18324634
1914,18343783
1915,18362942
1916,18382111
1917,18401290
1918,18420479
1919,18439678
1920,18458887
1921,18478106
1922,18497335
1923,18516574
1924,18535823
1925,18555082
1926,18574351
1927,18593630
1928,18612919
1929,18632218
1930,18651527
1931,18670846
1932,18690175
1933,18709514
1934,18728863
1935,18748222
1936,18767591
1937,18786970
1938,18806359
1939,18825758
1940,18845167
1941,18864586
1942,18884015
1943,18903454
1944,18922903
1945,18942362
1946,18961831
1947,18981310
1948,19000799
1949,19020298
1950,19039807
1951,19059326
1952,19078855
1953,19098394
1954,19117943
1955,19137502
1956,19157071
1957,19176650
1958,19196239
1959,19215838
1960,19235447
1961,19255066
1962,19274695
1963,19294334
1964,19313983
1965,19333642
1966,19353311
1967,19372990
1968,19392679
1969,19412378
1970,19432087
1971,19451806
1972,19471535
1973,19491274
1974,19511023
1975,19530782
1976,19550551
1977,19570330
1978,19590119
1979,19609918
1980,19629727
1981,19649546
1982,19669375
1983,19689214
1984,19709063
1985,19728922
1986,19748791
1987,19768670
1988,19788559
1989,19808458
1990,19828367
1991,19848286
1992,19868215
1993,19888154
1994,19908103
1995,19928062
1996,19948031
